gene,gene_url,gene_url_lynx,gene_url_ucsc
A2BP1,https://www.dbdb.urmc.rochester.edu/genes/A2BP1?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=A2BP1,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=A2BP1
ABCB6,https://www.dbdb.urmc.rochester.edu/genes/ABCB6?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ABCB6,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ABCB6
ABCC9,https://www.dbdb.urmc.rochester.edu/genes/ABCC9?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ABCC9,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ABCC9
ACSL4,https://www.dbdb.urmc.rochester.edu/genes/ACSL4?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ACSL4,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ACSL4
ACTB,https://www.dbdb.urmc.rochester.edu/genes/ACTB?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ACTB,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ACTB
ACTG1,https://www.dbdb.urmc.rochester.edu/genes/ACTG1?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ACTG1,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ACTG1
ADNP,https://www.dbdb.urmc.rochester.edu/genes/ADNP?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ADNP,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ADNP
ADSL,https://www.dbdb.urmc.rochester.edu/genes/ADSL?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ADSL,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ADSL
AFF2,https://www.dbdb.urmc.rochester.edu/genes/AFF2?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=AFF2,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=AFF2
AHI1,https://www.dbdb.urmc.rochester.edu/genes/AHI1?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=AHI1,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=AHI1
AIPL1,https://www.dbdb.urmc.rochester.edu/genes/AIPL1?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=AIPL1,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=AIPL1
AKT1,https://www.dbdb.urmc.rochester.edu/genes/AKT1?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=AKT1,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=AKT1
AKT3,https://www.dbdb.urmc.rochester.edu/genes/AKT3?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=AKT3,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=AKT3
ALDH1A3,https://www.dbdb.urmc.rochester.edu/genes/ALDH1A3?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ALDH1A3,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ALDH1A3
ALDH5A1,https://www.dbdb.urmc.rochester.edu/genes/ALDH5A1?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ALDH5A1,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ALDH5A1
ALDH7A1,https://www.dbdb.urmc.rochester.edu/genes/ALDH7A1?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ALDH7A1,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ALDH7A1
