phenotype,phenotype_description,phenotype_name,phenotype_url
AC,"Congenital absence of the anterior commissure, one of the white matter commissures of the forebrain.",Absent anterior commissure,https://www.dbdb.urmc.rochester.edu/phenotypes/AC?content-type=text/html
ACC,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html
ALTHEMI,"Severe or complete loss of motor function on one side of the body, in this case manifesting in an alternating pattern.",Alternating hemiplegia,https://www.dbdb.urmc.rochester.edu/phenotypes/ALTHEMI?content-type=text/html
ATAXIA,"Impairment of the ability to perform smoothly coordinated voluntary movements. This condition may affect the limbs, trunk, eyes, pharynx, larynx, and other structures.",Ataxia,https://www.dbdb.urmc.rochester.edu/phenotypes/ATAXIA?content-type=text/html
AUT,A disorder beginning in childhood marked by the presence of abnormal or impaired development in social interaction and communication and a markedly restricted repertoire of activity and interest. Manifestations of the disorder vary greatly depending on the developmental level and chronological age of the individual (DSM-IV).,Autism,https://www.dbdb.urmc.rochester.edu/phenotypes/AUT?content-type=text/html
BCALC,Intracerebral calcification in a band-like distrubution in the subcortical white matter.,Band-like calcifications,https://www.dbdb.urmc.rochester.edu/phenotypes/BCALC?content-type=text/html
BECTS,"Partial seizures involving the region around the central gyrus of Rolando, resulting in seizures that affect the vocal tract and mouth. Typical semiology includes hypersalivation and speech arrest. Seizures most typically occur while awaking.",Benign epilepsy of childhood with centrotemporal spikes,https://www.dbdb.urmc.rochester.edu/phenotypes/BECTS?content-type=text/html
BFPP,Polymicrogyria affecting the frontal and parietal lobes bilaterally,Bilateral frontoparietal polymicrogyria,https://www.dbdb.urmc.rochester.edu/phenotypes/BFPP?content-type=text/html
BPSPMG,"Polymicrogyria centered around the perisylvian region(s). This is the most common pattern of polymicrogyria (60%), and 85% are bilateral.",Bilateral perisylvian polymicrogyria,https://www.dbdb.urmc.rochester.edu/phenotypes/BPSPMG?content-type=text/html
CALC,Intracerebral calcifications are usually visible as punctate hypointensities on T2 images.,Cerebral calcifications,https://www.dbdb.urmc.rochester.edu/phenotypes/CALC?content-type=text/html
CAVMALF,Hereditary intracranial vascular malformations.,Cerebral cavernous malformations,https://www.dbdb.urmc.rochester.edu/phenotypes/CAVMALF?content-type=text/html
CBLA,"A small cerebellum with enlarged fissures compared to the folia, or if the cerebellum has undergone progressive loss of volume.",Cerebellar atrophy,https://www.dbdb.urmc.rochester.edu/phenotypes/CBLA?content-type=text/html
