phenotype,gene,gene_chromosome,gene_inheritence,syndrome,phenotype_description,phenotype_name,phenotype_url,gene_url,gene_url_lynx,gene_url_ucsc,syndrome_features,syndrome_inheritence,syndrome_name,syndrome_synonyms,syndrome_url
AC,PAX6,3,AD/de novo,,"Congenital absence of the anterior commissure, one of the white matter commissures of the forebrain.",Absent anterior commissure,https://www.dbdb.urmc.rochester.edu/phenotypes/AC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/PAX6?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=PAX6,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=PAX6,,,,,
ACC,AKT3,3,AD/de novo,,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/AKT3?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=AKT3,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=AKT3,,,,,
ACC,ARX,1,XL,Proud,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/ARX?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=ARX,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=ARX,"Agenesis of the corpus callosum, mental retardation, seizures, limb abnormalities. Females have spastic quadriplegia. Males have severe micrencephaly.",XL,Proud syndrome,ACC with abnormal genitalia,https://www.dbdb.urmc.rochester.edu/syndromes/Proud?content-type=text/html
ACC,B3GALTL,3,AR,,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/B3GALTL?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=B3GALTL,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=B3GALTL,,,,,
ACC,C12orf57,3,AR,,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/C12orf57?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=C12orf57,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=C12orf57,,,,,
ACC,CDK5RAP2,3,AR,,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/CDK5RAP2?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CDK5RAP2,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CDK5RAP2,,,,,
ACC,CENPF,3,AR,,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/CENPF?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=CENPF,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=CENPF,,,,,
ACC,DISC1,3,AD/de novo,,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/DISC1?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=DISC1,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=DISC1,,,,,
ACC,DYNC1H1,3,AD/de  novo,,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/DYNC1H1?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=DYNC1H1,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=DYNC1H1,,,,,
ACC,FOXG1,2,AD/de novo,,"A spectrum of abnormalities of the corpus callosum, the principal supratentorial white matter commissure.",Agenesis of the corpus callosum,https://www.dbdb.urmc.rochester.edu/phenotypes/ACC?content-type=text/html,https://www.dbdb.urmc.rochester.edu/genes/FOXG1?content-type=text/html,http://lynx.ci.uchicago.edu/gene/?geneid=FOXG1,http://genome.ucsc.edu/cgi-bin/hgTracks?org=human&db=hg19&singleSearch=knownCanonical&position=FOXG1,,,,,
